,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RENCANA PROYEKSI PENERIMAAN LAYANAN 2023 - 2027 (BLU),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MENURUT KELOMPOK PARAMETER PENGUJIAN ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,No,,Parameter Pengujian,HPP BLU (Rp),Tarif LPPT UGM,Tarif Pengujian UII,Tarif Balabkes     Dinkes DIY,Tarif BBTKLPP DIY,Tarif PP 54 Th 2021 (Rp),,,2024,,2025,,2026,,2027,,,Tarif Pesaing,,,,,,,,
,,,,,,,,,,,,Sampel (bh),Rp,Sampel (bh),Rp,Sampel (bh),Rp,Sampel (bh),Rp,Asumsi Growth /tahun ,BPIPI SIDOHARJO,"Unit Pengelola Pengujian dan Inspeksi, Sertifikasi Produk Perindustrian, Perdagangan, Koperasi Usaha Kecil dan Menengah DKI Jakarta",LAB.BAN TUV Rheinland Indonesia,Pusat Penelitian Karet (LP – Puslit Karet),BBBBT,Balai Pengujian Mutu Barang Jakarta,BBTKLPP DIY,BBKFK,PT. Mutuagung Lestari Jawa Barat
,,,"Perpanjangan tetap, suhu oven",,-,-,,,"120,000",,,0 ,0,0 ,0,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,
,,,24 jam,"346,086",,,,,,,,,,,,,,,,,,,,,,,,,
,,,72 jam,"849,885",,,,,,,,,,,,,,,,,,,,,,,,,
,,,168 jam,"1,857,481",,,,,,,,,,,,,,,,,,,,,,,,,
,,,Compression set suhu lab,"79,565",,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Compreesion set, suhu oven",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,24 jam,"423,016",,,,,,,,,,,,,,,,,,,,,,,,,
,,,72 jam,"926,814",,,,,,,,,,,,,,,,,,,,,,,,,
,,,168 jam,"1,934,411",,,,,,,,,,,,,,,,,,,,,,,,,
,,,Berat jenis,"84,553",-,-,,,"30,000",,,0 ,0,0 ,0,#REF!,#REF!,#REF!,#REF!,,,,,"50,000",,,,,
,,,Ketahanan kikis,"199,869",-,-,,,"55,000",,,0 ,0,0 ,0,#REF!,#REF!,#REF!,#REF!,,,,,"300,000",,,,,
,,,Kekerasan,"65,315",-,-,,,"30,000",,,0 ,0,0 ,0,#REF!,#REF!,#REF!,#REF!,,,,,"50,000",,,,,
,,,"Perubahan perpanjangan putus (Aging 70°C , 3 hari)","1,015,891",-,-,,,"120,000",,,0 ,0,0 ,0,0 ,0,0 ,0,,,,,,,,,,
,,,"Perubahan kekuatan tarik (Aging 70°C , 3 hari)","1,015,891",-,-,,,"120,000",,,0 ,0,0 ,0,0 ,0,0 ,0,,,,,,,,,,
,,,"Perubahan kekerasan (Aging 70°C , 3 hari)","849,013",-,-,,,"30,000",,,0 ,0,0 ,0,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,
,,,Modulus,"204,193",-,-,,,"50,000",,,0 ,0,0 ,0,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,
,,,Top cover – ply 1 (Sifat Fisis-Kekuatan rekat),"201,752",-,-,,,"48,000",,,0 ,0,0 ,0,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,
,,,Ply 1 – ply 2 (Sifat Fisis-Kekuatan rekat),"201,752",-,-,,,"48,000",,,0 ,0,0 ,0,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,
,,,Ply 2 – ply 3 (Sifat Fisis-Kekuatan rekat),"201,752",-,-,,,"48,000",,,0 ,0,0 ,0,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,
,,,Ply 3 – ply 4 (Sifat Fisis-Kekuatan rekat),"201,752",-,-,,,"48,000",,,0 ,0,0 ,0,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,
,,,Bottom cover – ply 4 (Sifat Fisis-Kekuatan rekat),"201,752",-,-,,,"48,000",,,0 ,0,0 ,0,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,
,,,Ply 4 – ply 5 (Sifat Fisis-Kekuatan rekat),"201,752",-,-,,,"48,000",,,0 ,0,0 ,0,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,
,,,Bottom cover – ply 5 (Sifat Fisis-Kekuatan rekat),"201,752",-,-,,,"48,000",,,0 ,0,0 ,0,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,
,,,Water absorption,"66,612",-,-,,,"55,000",,,0 ,0,0 ,0,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,
,,,Thickness,"46,035",-,-,,,"34,000",,,0 ,0,0 ,0,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,
,,,density,"84,553",-,-,,,"30,000",,,0 ,0,0 ,0,0 ,0,0 ,0,,,,,,,,,,
,,,Elongation at break,"204,193",-,-,,,"120,000",,,0 ,0,0 ,0,0 ,0,0 ,0,,,,,,,,,,
,,,Perubahan kuat rekat (Bottom cover - ply 4),"201,752",-,-,,,"48,000",,,0 ,0,0 ,0,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,
,,,Perubahan kuat rekat (bottom - ply 5),"201,752",-,-,,,"48,000",,,0 ,0,0 ,0,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,
,,,Jumlah lapisan,"63,642",-,-,,,"34,000",,,0 ,0,0 ,0,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,
,,,Tebal total,"63,642",-,-,,,"34,000",,,0 ,0,0 ,0,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,
,,,Tebal bottom cover,"63,642",-,-,,,"34,000",,,0 ,0,0 ,0,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,
,,,Tebal top cover,"63,642",-,-,,,"34,000",,,0 ,0,0 ,0,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,
,,,"Adhesion, after immersion IRM 903, 2 hours","726,752",-,-,,,"48,000",,,0 ,0,0 ,0,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,
,,,"Adhesion, after aging 125 ⁰C, 1000 hours","10,727,890",-,-,,,"48,000",,,0 ,0,0 ,0,0 ,0,0 ,0,,"34,000",,,,,,,,
,,,Adhesion,"201,752",-,-,,,"48,000",,,0 ,0,0 ,0,0 ,0,0 ,0,,,,,,,,,,
,,,Perubahan volume dalam air,"66,612",-,-,,,"34,000",,,0 ,0,0 ,0,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,
,,,Perubahan kuat rekat (Top cover - ply 1),"545,203",-,-,,,"48,000",,,0 ,0,0 ,0,0 ,0,0 ,0,,,,,,,,,,
,,,Perubahan kuat rekat (ply 1 - ply 2),"545,203",-,-,,,"48,000",,,0 ,0,0 ,0,0 ,0,0 ,0,,,,,,,,,,
,,,Perubahan kuat rekat (ply 2 - ply 3),"545,203",-,-,,,"48,000",,,0 ,0,0 ,0,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,
,,,Perubahan kuat rekat (ply 3 - ply 4),"545,203",-,-,,,"48,000",,,0 ,0,0 ,0,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,
,,,Perubahan kuat rekat (ply 4 - ply 5),"545,203",-,-,,,"48,000",,,0 ,0,0 ,0,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ketahanan Ozon,drop,-,"  220,000 ",,,"225,000",,,0 ,0,0 ,0,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,BAN DALAM,"1,376,482",0,0,0,0,"791,000",,,,0,,0,,0,,0,,,,,,,"900,000",,,
,,,Kekuatan tarik badan,"201,821",-,-,,,"150,000",,,0 ,0,0 ,0,0 ,0,0 ,0,,,,,,,,,,
,,,Perpanjangan putus,"201,900",-,-,,,"150,000",,,0 ,0,0 ,0,0 ,0,0 ,0,,,,,,,,,,
,,,Kekuatan tarik sambungan,"201,821",-,-,,,"120,000",,,0 ,0,0 ,0,0 ,0,0 ,0,,,,,,,,,,
,,,Perpanjangan tetap  (kemuluran tetap),"176,406",-,-,,,"150,000",,,0 ,0,0 ,0,0 ,0,0 ,0,,,,,,,,,,
,,,Pengusangan,"573,272",-,-,,,"180,000",,,0 ,0,0 ,0,0 ,0,0 ,0,,,,,,,,,,
,,,Sifat tampak,"21,263",-,-,,,"41,000",,,0 ,0,0 ,0,0 ,0,0 ,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,BAN LUAR TRUCK DAN BUS,#REF!,0,0,0,0,"2,591,000",,,,0,,0,,0,,0,,,,"13,000,000",,"4,000,000","3,240,000",,,
,,,Sifat tampak,"21,263",-,-,,,"41,000",,,,,,,,,,,,,,,,,,,,
,,,"Dimensi (lebar, diameter) (TTKAN)",#REF!,-,-,,,"300,000",,,0 ,0,0 ,0,0 ,0,0 ,0,,,,,,,,,,
,,,"lndikator keausan telapak (Tread Wear Indicator, TWI)",#REF!,-,-,,,"300,000",,,0 ,0,0 ,0,0 ,0,0 ,0,,,,,,,,,,
,,,Energi penembusan (breaking energy),#REF!,-,-,,,"450,000",,,0 ,0,0 ,0,0 ,0,0 ,0,,,,,,,,,,
,,,"Ketahanan pada berbagai beban (endurance), Kondisi setelah diuji",#REF!,-,-,,,"1,500,000",,,0 ,0,0 ,0,0 ,0,0 ,0,,,,,,,,,,
,,,,,,,,,,,,0 ,0,0 ,0,0 ,0,0 ,0,,,,,,,,,,
,5,,BAN LUAR LT,#REF!,0,0,0,0,"3,091,000",,,0 ,0,0 ,0,0 ,0,0 ,0,,,,"13,000,000","4,000,000","4,000,000","2,900,000",,,
,,,Sifat tampak,"21,263",-,-,,,"41,000",,,,,,,,,,,,,,,,,,,,
,,,"Dimensi (lebar, diameter) (TTKAN)",#REF!,-,-,,,"300,000",,,0 ,0,0 ,0,0 ,0,0 ,0,,,,,,,,,,
,,,"lndikator keausan telapak (Tread Wear Indicator, TWI)",#REF!,-,-,,,"300,000",,,0 ,0,0 ,0,0 ,0,0 ,0,,,,,,,,,,
,,,Energi penembusan (breaking energy),#REF!,-,-,,,"450,000",,,0 ,0,0 ,0,0 ,0,0 ,0,,,,,,,,,,
,,,Ketahanan ban pada berbagai kecepatan (high speed),#REF!,-,-,,,"500,000",,,0 ,0,0 ,0,0 ,0,0 ,0,,,,,,,,,,
,,,"Ketahanan pada berbagai beban (endurance), Kondisi setelah diuji",#REF!,-,-,,,"1,500,000",,,0 ,0,0 ,0,0 ,0,0 ,0,,,,,,,,,,
,,,,,,,,,,,,0 ,0,0 ,0,0 ,0,0 ,0,,,,,,,,,,
